1,504.5,214.0,17.0,41.25,0.76123
1,371.5,204.375,22.5,44.125,0.47827
1,366.25,203.875,19.5,42.625,0.03278
1,125.625,208.75,16.75,29.5,0.02119
1,560.5,206.5,20.0,42.75,0.01154
1,105.125,208.5,15.75,35.0,0.00787
1,112.875,206.5,26.5,33.0,0.00468
1,379.75,203.375,20.0,40.625,0.00294
1,98.062,206.75,20.312,47.0,0.00214
1,500.5,207.75,39.0,50.0,0.00133
2,528.5,223.75,22.0,53.0,0.64746
2,367.5,214.875,23.0,43.625,0.24854
2,74.062,211.25,20.5,43.75,0.03021
2,80.875,208.0,18.0,39.75,0.00723
2,356.25,216.75,27.5,44.75,0.00314
2,67.062,213.5,22.5,49.0,0.00173
2,257.5,221.375,90.0,283.625,0.00103
3,563.5,232.0,25.0,57.0,0.77051
3,359.5,217.0,25.0,49.5,0.19641
3,369.5,216.5,19.5,43.75,0.0192
3,570.0,220.25,27.0,67.0,0.01875
3,7.875,214.5,13.625,31.5,0.00409
3,31.469,213.0,18.656,44.0,0.00351
3,354.0,221.625,22.0,49.125,0.0027
3,29.344,223.5,16.438,38.0,0.00154
3,578.0,230.75,25.0,55.5,0.00113
3,440.75,221.25,15.5,28.75,0.00108
4,361.75,216.375,28.5,52.375,0.19067
4,373.0,219.5,23.5,51.0,0.08112
4,70.25,209.5,15.25,33.0,0.0035
4,402.0,225.25,19.5,40.0,0.00266
4,356.75,217.0,22.5,45.0,0.00179
5,411.0,208.0,18.5,50.0,0.04355
5,63.188,205.25,23.875,56.5,0.01236
5,404.0,211.5,27.0,61.5,0.00404
5,415.5,217.0,23.0,58.5,0.00296
6,477.0,214.75,23.0,58.0,0.05646
6,454.25,232.5,21.5,47.5,0.00246
6,386.25,0.0,46.0,84.0,0.00229
6,270.5,0.0,280.0,159.75,0.00156
6,466.5,211.125,28.0,55.125,0.00133
6,590.5,3.969,38.0,99.031,0.001
7,616.0,202.5,24.0,62.5,0.0021
7,568.5,203.5,22.0,43.5,0.00119
7,597.5,203.5,26.0,60.0,0.001
8,0.0,196.125,21.375,55.625,0.01475
8,528.5,0.0,35.0,55.812,0.00146
9,583.5,234.0,28.0,68.5,0.01634
9,512.5,183.75,21.0,46.0,0.00595
9,508.5,181.25,18.0,39.5,0.00125
10,562.0,171.25,24.0,57.0,0.00137
10,464.5,204.25,21.5,55.5,0.00111
11,0.0,229.125,16.375,72.375,0.007
11,382.5,209.875,18.5,45.625,0.00582
11,596.0,218.75,32.0,80.0,0.00268
11,192.0,452.5,19.25,46.0,0.00162
11,407.5,216.25,15.0,39.0,0.00138
12,615.0,207.125,23.0,67.875,0.00284
